Drug,ChEMBL_ID,MW,PSA,HBD,HBA,LogP,SMILES,Source,Fu_median,N_fu,Fu_values,PPB_value,Fu_from_PPB,N_ppb,Fu_source,Fu_final,pKa_exp,N_pka,pKa_values,LogD74_exp,N_logd,LogD_values,pKa_acid_pred,pKa_base_pred,LogD74_pred,LogP_opera,Type,MW_rdkit,PSA_rdkit,HBD_rdkit,HBA_rdkit,LogP_rdkit,MW_chembl,PSA_chembl,LogP_chembl,MW_diff_rdkit,PSA_diff_rdkit,HBD_diff_rdkit,HBA_diff_rdkit,LogP_diff_rdkit,pKa_pkasolver,N_pka_pkasolver,Type_pkasolver,pKa_acid_v1,pKa_base_v1,pKa_acid_v2,pKa_base_v2,FG_acid_v2,FG_base_v2,f_neutral_v2,fraction_ionized_v2,LogD74_calc_pkasolver_v2
Haloperidol,CHEMBL54,375.87,40.54,1,3,4.43,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,ChEMBL,0.10200000000000001,8,"0.08, 0.08, 0.08, 0.124, 0.164, 0.161, 0.223, 0.08",NA,NA,NA,ChEMBL_Fu,0.10200000000000001,8.65,14,"8.65, 8.65, 8.3, 8.25, 9.02, 8.3, 9.02, 8.65, 9.07, 8.65, 8.65, 8.5, 8.65, 8.3",2.49,6,"2.98, 0.18, 2.49, 2.42, 2.49, 3.99",NA,NA,4.29,4.29,NEUTRAL,375.87100000000015,40.540000000000006,1,3,4.425600000000004,375.87,40.54,4.43,0.0010000000001468834,7.105427357601002e-15,0,0,0.004399999999995963,"8.505, 9.396",2,"BASE, ACID",9.396087989807128,8.505235061645507,9.396087989807128,8.505235061645507,alcohol,aliphatic_amine,0.07271661121098066,0.9272833887890193,3.291633631398396
Imatinib,CHEMBL941,493.62,86.28,2,7,4.59,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,ChEMBL,0.05,1,0.05,NA,NA,NA,ChEMBL_Fu,0.05,8.07,1,8.07,0.9,1,0.9,NA,8.35,3.03,4.03,BASE,493.6150000000002,86.28000000000002,2,7,4.590320000000004,493.62,86.28,4.59,0.004999999999824922,1.4210854715202004e-14,0,0,3.2000000000387274e-4,"3.511, 4.388, 4.837, 5.24, 8.18, 9.079, 9.144, 10.163",8,"BASE, BASE, BASE, BASE, BASE, ACID, BASE, ACID",9.079437484741211,9.143615989685058,9.079437484741211,9.143615989685058,acidic_aniline,aliphatic_amine,0.017719666063803756,0.9822803339361963,2.8384555331258694
Lamotrigine,CHEMBL741,256.10,90.71,2,5,2.01,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,ChEMBL,0.45,1,0.45,NA,NA,NA,ChEMBL_Fu,0.45,5.195,4,"5.7, 5.19, 5.19, 5.2",0.27,2,"0.54, 0",NA,5.05,2.57,2.57,BASE,256.09599999999995,90.71,2,5,2.0098,256.1,90.71,2.01,0.004000000000075943,0,0,0,1.9999999999997797e-4,"3.358, 3.625, 4.798, 5.248, 7.644, 7.978",6,"BASE, BASE, BASE, BASE, BASE, ACID",7.978097190856934,7.6443267440795895,7.978097190856934,7.6443267440795895,acidic_aniline,aliphatic_amine,0.3311935701939638,0.6688064298060362,1.5300818967831709
Nevirapine,CHEMBL57,266.30,58.12,1,4,2.65,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,ChEMBL,0.32,1,0.32,NA,NA,NA,ChEMBL_Fu,0.32,NA,0,NA,1.81,1,1.81,NA,2.92,1.81,1.81,BASE,266.30400000000003,58.120000000000005,1,4,2.6512200000000004,266.3,58.12,2.65,0.004000000000019099,7.105427357601002e-15,0,0,0.001220000000000443,"3.09, 3.478, 4.214, 4.446, 9.828",5,"BASE, BASE, BASE, BASE, ACID",9.827936935424805,4.446291189193726,9.827936935424805,4.213680524826049,acidic_amide,aliphatic_amine,0.9956349444055818,0.004365055594418243,2.6481001309017933
Nifedipine,CHEMBL193,346.34,107.77,1,7,2.18,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],ChEMBL,0.041999999999999996,4,"0.04, 0.04, 0.044, 0.949",NA,NA,NA,ChEMBL_Fu,0.041999999999999996,1,1,1,3.17,1,3.17,NA,4.93,2.53,2.53,BASE,346.33900000000006,107.77000000000001,1,7,2.1756,346.34,107.77,2.18,9.999999999195097e-4,1.4210854715202004e-14,0,0,0.0043999999999999595,4.807,1,BASE,NA,4.806663103103638,NA,4.806663103103638,NA,aliphatic_amine,0.9974557677748239,0.0025442322251760796,2.178893645975588
Nimodipine,CHEMBL1428,418.45,117.00,1,8,2.97,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,ChEMBL,0.012,2,"0.016, 0.008",NA,NA,NA,ChEMBL_Fu,0.012,NA,0,NA,NA,0,NA,NA,6.08,3.03,3.05,BASE,418.44600000000014,117,1,8,2.9708000000000014,418.45,117,2.97,0.003999999999848569,0,0,0,8.000000000012442e-4,4.812,1,BASE,NA,4.811790447235108,NA,4.811790447235108,NA,aliphatic_amine,0.9974256299695338,0.002574370030466233,2.9688805237092217
Nitrendipine,CHEMBL475534,360.37,107.77,1,7,2.57,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,ChEMBL,0.02,1,0.02,NA,NA,NA,ChEMBL_Fu,0.02,NA,0,NA,0.97,1,0.97,NA,5.37,2.88,2.88,BASE,360.36600000000004,107.77000000000001,1,7,2.5657000000000005,360.37,107.77,2.57,0.003999999999962256,1.4210854715202004e-14,0,0,0.004299999999999304,4.775,1,BASE,NA,4.774965686798096,NA,4.774965686798096,NA,aliphatic_amine,0.9976344228711664,0.0023655771288335625,2.5689714258404543
Olanzapine,CHEMBL715,312.44,30.87,1,5,3.44,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,ChEMBL,NA,0,NA,89.27,0.10730000000000006,1,ChEMBL_PPB,0.10730000000000006,7.9,4,"8, 4.66, 8.5, 7.8",1.9,1,1.9,8.25,NA,2.94,3,ACID,312.4420000000001,30.870000000000005,1,5,3.4392200000000033,312.44,30.87,3.44,0.0020000000001232365,3.552713678800501e-15,0,0,7.799999999966722e-4,"5.07, 7.944, 8.718, 10.061",4,"BASE, ACID, BASE, ACID",7.943711757659912,8.718348445892333,7.943711757659912,8.718348445892333,acidic_aniline,aliphatic_amine,0.04524967078927401,0.954750329210726,2.0956154238744427
Oxazepam,CHEMBL568,286.72,61.69,2,3,2.45,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,ChEMBL,0.0495,4,"0.04, 0.04, 0.105, 0.059",NA,NA,NA,ChEMBL_Fu,0.0495,0.165,2,"0.06, 0.27",NA,0,NA,8.93,NA,2.23,2.24,ACID,286.718,61.69,2,3,2.4479,286.72,61.69,2.45,0.0020000000000095497,0,0,0,0.0020999999999999908,"6.46, 10.188, 11.119",3,"BASE, ACID, ACID",10.188254280090332,6.459884376525879,10.188254280090332,NA,acidic_amide,NA,0.9983743048317898,0.001625695168210206,2.4492933950413067
Paclitaxel,CHEMBL428647,853.92,221.29,4,14,3.74,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,ChEMBL,0.07,3,"0.03, 0.07, 0.12",NA,NA,NA,ChEMBL_Fu,0.07,NA,0,NA,3.6,1,3.6,6.16,NA,0.75,2.01,ACID,853.918,221.28999999999996,4,14,3.7357000000000036,853.92,221.29,3.74,0.0019999999999527063,2.842170943040401e-14,0,0,0.00429999999999664,"4.522, 7.772, 7.933, 8.39, 8.506",5,"BASE, ACID, ACID, ACID, ACID",7.77158224105835,4.52215684890747,7.77158224105835,NA,alcohol,NA,0.701740492561457,0.298259507438543,3.586176537364807
Praziquantel,CHEMBL976,312.41,40.62,0,2,2.53,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,ChEMBL,NA,0,NA,39.595,0.60405,2,ChEMBL_PPB,0.60405,NA,0,NA,3,2,"3, 3",NA,4.7,1.74,1.74,BASE,312.41300000000007,40.620000000000005,0,2,2.5349000000000004,312.41,40.62,2.53,0.0030000000000427463,7.105427357601002e-15,0,0,0.0049000000000005706,5.664,1,BASE,NA,5.663796081542968,NA,NA,NA,NA,1,0,2.53
Prednisone,CHEMBL635,358.43,91.67,2,5,1.77,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,ChEMBL,0.25,3,"0.25, 0.25, 0.27",NA,NA,NA,ChEMBL_Fu,0.25,NA,0,NA,1.46,1,1.46,8.77,NA,1.45,1.47,ACID,358.43400000000014,91.67,2,5,1.7658,358.43,91.67,1.77,0.004000000000132786,0,0,0,0.0041999999999999815,"6.416, 7.523",2,"ACID, ACID",6.415539512634277,NA,6.415539512634277,NA,alcohol,NA,0.09390980592407626,0.9060901940759237,0.7427109430261438
Primidone,CHEMBL856,218.26,58.20,2,2,0.54,CCC1(c2ccccc2)C(=O)NCNC1=O,ChEMBL,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,8.36,NA,0.86,0.91,ACID,218.25599999999994,58.2,2,2,0.5378999999999999,218.26,58.2,0.54,0.004000000000047521,0,0,0,0.002100000000000102,"5.693, 8.744, 9.262",3,"BASE, ACID, ACID",8.74431022644043,5.692697620391845,8.74431022644043,NA,acidic_amide,NA,0.9567021316896036,0.04329786831039639,0.5207767416431909
Ritonavir,CHEMBL163,720.96,145.78,4,9,5.91,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,ChEMBL,0.021,1,0.021,NA,NA,NA,ChEMBL_Fu,0.021,NA,0,NA,NA,0,NA,6.22,NA,2.26,3.47,ACID,720.9620000000001,145.77999999999997,4,9,5.905200000000005,720.96,145.78,5.91,0.002000000000066393,2.842170943040401e-14,0,0,0.0047999999999950305,"4.444, 5.106, 5.247, 5.423, 5.478, 7.564, 8.188, 8.522, 8.647",9,"ACID, BASE, BASE, BASE, BASE, ACID, ACID, ACID, ACID",4.4440897274017335,5.478167247772217,4.4440897274017335,5.422878103256226,carbamate,heterocyclic_N_basic_5ring_polyhet,0.001105615788569081,0.998894384211431,2.9536042319471543
Rivaroxaban,CHEMBL198362,435.89,88.18,1,6,2.52,O=C(NC[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1,ChEMBL,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,3.94,2.08,2.08,BASE,435.8890000000001,88.18,1,6,2.5199000000000007,435.89,88.18,2.52,9.999999998626663e-4,0,0,0,9.999999999932285e-5,"2.892, 3.792, 5.178, 8.717",4,"ACID, BASE, BASE, ACID",8.71687349319458,5.17776777267456,8.71687349319458,NA,acidic_amide,NA,0.9540083811097396,0.04599161889026038,2.4995521900643927
Rofecoxib,CHEMBL122,314.36,60.44,0,4,2.56,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,ChEMBL,NA,0,NA,93.1,0.06900000000000006,1,ChEMBL_PPB,0.06900000000000006,NA,0,NA,NA,0,NA,NA,NA,3.17,3.17,NEUTRAL,314.3620000000001,60.44,0,4,2.5577000000000005,314.36,60.44,2.56,0.002000000000066393,0,0,0,0.0022999999999995246,NA,0,NA,NA,NA,NA,NA,NA,NA,1,0,2.56
Spironolactone,CHEMBL1393,416.58,60.44,0,5,4.85,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@H]12,ChEMBL,NA,0,NA,49,0.51,1,ChEMBL_PPB,0.51,NA,0,NA,NA,0,NA,NA,NA,2.78,2.78,NEUTRAL,416.58300000000025,60.44,0,5,4.852300000000005,416.58,60.44,4.85,0.00300000000027012,0,0,0,0.002300000000005298,NA,0,NA,NA,NA,NA,NA,NA,NA,1,0,4.85
Tacrolimus,CHEMBL3989887,822.05,178.36,3,12,4.64,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC.O,ChEMBL,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,6.19,2.4,2.43,BASE,822.046,209.85999999999996,3,12,3.8143000000000042,822.05,178.36,4.64,0.0039999999999054126,31.499999999999943,0,0,0.8256999999999954,"6.322, 7.365, 7.571, 8.369",4,"BASE, ACID, ACID, ACID",7.364769172668457,6.321972713470459,7.364769172668457,NA,alcohol,NA,0.47973062001040506,0.520269379989595,4.320997439285478
Zaleplon,CHEMBL1521,305.34,74.29,0,5,2.64,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,ChEMBL,0.4,3,"0.4, 0.49, 0.4",NA,NA,NA,ChEMBL_Fu,0.4,NA,0,NA,NA,0,NA,NA,1.25,1.23,1.23,BASE,305.341,74.28999999999999,0,4,2.6407800000000003,305.34,74.29,2.64,0.0010000000000331966,1.4210854715202004e-14,0,1,7.80000000000225e-4,"2.647, 2.711, 3.784",3,"BASE, BASE, BASE",NA,3.784487705230713,NA,NA,NA,NA,1,0,2.64
Aztreonam,CHEMBL158,435.44,201.58,4,10,-1.17,C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,ChEMBL,0.62,5,"0.72, 0.71, 0.4, 0.62, 0.62",NA,NA,NA,ChEMBL_Fu,0.62,2.75,1,2.75,NA,0,NA,6.04,NA,-0.87,0.51,ACID,435.44000000000017,201.57999999999998,4,10,-1.1724999999999979,435.44,201.58,-1.17,1.7053025658242404e-13,2.842170943040401e-14,0,0,0.0024999999999979483,"2.471, 2.666, 2.782, 3.001, 3.038, 3.996",6,"BASE, ACID, BASE, BASE, BASE, ACID",3.996499500274658,3.0378773689270018,3.996499500274658,3.0378773689270018,acidic_amide,aliphatic_amine,3.94755344843601e-4,0.9996052446551564,-4.573671981090743
Benzylpenicillin,CHEMBL29,334.40,86.71,2,4,0.86,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,ChEMBL,0.4,1,0.4,NA,NA,NA,ChEMBL_Fu,0.4,2.72,3,"2.6, 2.8, 2.72",NA,0,NA,5.78,NA,0.2,1.83,ACID,334.39700000000005,86.71000000000001,2,4,0.8607999999999998,334.4,86.71,0.86,0.0029999999999290594,1.4210854715202004e-14,0,0,7.999999999998009e-4,"2.989, 3.309, 3.463, 6.117",4,"ACID, BASE, BASE, ACID",6.1173726844787595,3.462906150817871,6.1173726844787595,NA,acidic_amide,NA,0.049578017573666394,0.9504219824263336,-0.4447108429177403
Captopril,CHEMBL1560,217.29,57.61,2,3,0.63,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,ChEMBL,0.73,1,0.73,NA,NA,NA,ChEMBL_Fu,0.73,3.7,1,3.7,NA,0,NA,2.62,NA,-4.44,0.34,ACID,217.28999999999996,57.61,2,3,0.6279000000000001,217.29,57.61,0.63,2.842170943040401e-14,0,0,0,0.0020999999999998797,"3.836, 6.551, 7.514, 7.663",4,"ACID, BASE, BASE, ACID",3.8357811832427977,7.51429651260376,3.8357811832427977,NA,carboxylate,NA,2.726859370480299e-4,0.999727314062952,-2.9343372589044434
Cefonicid,CHEMBL1601,542.58,204.91,4,12,-0.92,O=C(O)C1=C(CSc2nnnn2CS(=O)(=O)O)CS[C@@H]2[C@H](NC(=O)[C@H](O)c3ccccc3)C(=O)N12,ChEMBL,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,5.84,NA,-1.4,0.17,ACID,542.5770000000001,204.90999999999997,4,11,-0.9172999999999991,542.58,204.91,-0.92,0.0029999999999290594,2.842170943040401e-14,0,1,0.002700000000000924,"2.523, 2.547, 2.731, 2.758, 2.996, 4.052, 5.382",7,"ACID, BASE, BASE, BASE, ACID, ACID, ACID",4.051737060546875,NA,4.051737060546875,NA,alcohol,NA,4.4827274497057676e-4,0.9995517272550294,-4.268457665481101
Cefotaxime,CHEMBL1730,455.47,173.51,3,11,-0.62,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(C)=O)CS[C@H]12)c1csc(N)n1,ChEMBL,0.6,1,0.6,NA,NA,NA,ChEMBL_Fu,0.6,3.75,1,3.75,NA,0,NA,4.78,6.34,-1.56,0.29,AMPHOLYTE,455.47400000000016,173.51,3,11,-0.6224999999999987,455.47,173.51,-0.62,0.004000000000132786,0,0,0,0.0024999999999987255,"2.584, 2.874, 2.882, 2.96, 3.26, 3.918, 5.498",7,"BASE, BASE, BASE, BASE, ACID, BASE, ACID",3.2604321956634523,3.9180069255828855,3.2604321956634523,3.9180069255828855,carboxylate,aliphatic_amine,7.251046550703356e-5,0.999927489534493,-4.759599306753986
Cefoxitin,CHEMBL996,427.46,148.26,3,8,0.10,CO[C@@]1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@@H]21,ChEMBL,0.73,1,0.73,NA,NA,NA,ChEMBL_Fu,0.73,NA,0,NA,NA,0,NA,5.16,NA,-2.26,-0.02,ACID,427.4600000000002,148.26000000000002,3,8,0.09859999999999991,427.46,148.26,0.1,2.2737367544323206e-13,2.842170943040401e-14,0,0,0.0014000000000000956,"3.002, 3.214, 3.229, 3.418, 4.513, 6.136",6,"BASE, ACID, BASE, ACID, ACID, ACID",3.213924837112427,3.2289141464233397,3.213924837112427,NA,carboxylate,NA,6.51473182685077e-5,0.9999348526817315,-4.086103456930059
Emtricitabine,CHEMBL885,247.25,90.37,2,7,-0.46,Nc1nc(=O)n([C@@H]2CS[C@H](CO)O2)cc1F,ChEMBL,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,5.09,NA,-2.74,-0.43,ACID,247.25099999999998,90.37,2,6,-0.4550000000000003,247.25,90.37,-0.46,9.999999999763531e-4,0,0,1,0.004999999999999727,"2.863, 4.113, 8.034, 8.424",4,"BASE, BASE, ACID, ACID",8.034459400177003,4.112766199111938,8.034459400177003,4.112766199111938,acidic_aniline,aliphatic_amine,0.8113298994487298,0.1886701005512702,-0.5508025189360815
Enalaprilat,CHEMBL3989406,384.43,106.94,3,4,1.13,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O.O.O,ChEMBL,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,4.07,NA,-4.06,-0.73,ACID,384.42900000000026,169.94,3,4,-0.5232999999999988,384.43,106.94,1.13,9.999999997489795e-4,63,0,0,1.6532999999999987,"3.109, 4.967, 7.474",3,"ACID, ACID, BASE",3.109260320663452,7.473747005462647,3.109260320663452,7.473747005462647,carboxylate,aliphatic_amine,5.1193136337107513e-05,0.9999488068636629,-3.160788262671397
Hydrochlorothiazide,CHEMBL435,297.75,118.36,3,5,-0.35,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,ChEMBL,NA,0,NA,64.995,0.35005,2,ChEMBL_PPB,0.35005,9.035,10,"10.07, 7, 9.95, 7.9, 8.53, 0, 8.68, 9.39, 9.82, 10.1",-0.2,1,-0.2,8.32,NA,-0.12,-0.07,ACID,297.74500000000006,118.35999999999999,3,5,-0.35129999999999967,297.75,118.36,-0.35,0.004999999999938609,1.4210854715202004e-14,0,0,0.0012999999999996903,"4.412, 7.357, 7.705, 8.664, 9.102, 9.171",6,"BASE, ACID, ACID, ACID, ACID, ACID",7.35687484741211,4.412129621505738,7.35687484741211,4.412129621505738,sulfonamide,aliphatic_amine,0.4749634519432761,0.5250365480567238,-0.673339807701526
Levofloxacin,CHEMBL5315124,740.76,75.01,1,6,1.54,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23.C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23.O,ChEMBL,0.53,2,"0.31, 0.75",NA,NA,NA,ChEMBL_Fu,0.53,6.1,7,"5.1, 6, 8.6, 8.12, 6.1, 6, 8.5",-0.43,1,-0.43,1.2,NA,-6.59,-0.39,ACID,740.7610000000001,181.51999999999998,2,10,2.263300000000001,740.76,75.01,1.54,0.00100000000009004,106.50999999999998,1,4,0.7233000000000009,"5.973, 6.62, 6.805",3,"BASE, ACID, BASE",6.620166549682617,6.8051581382751465,6.620166549682617,6.8051581382751465,carboxylate,aliphatic_amine,0.1374102906090567,0.8625897093909433,0.6780192581047387
Methotrexate,CHEMBL34259,454.45,210.54,5,10,0.27,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,ChEMBL,0.37,1,0.37,NA,NA,NA,ChEMBL_Fu,0.37,4.7,8,"3.8, 4.7, 3.36, 5.6, 5.5, 3.1, 5.4, 4.7",-2.52,2,"-2.52, -2.52",1.74,8.44,-4.16,-1.85,AMPHOLYTE,454.44700000000023,210.53999999999996,5,10,0.2684000000000012,454.45,210.54,0.27,0.002999999999758529,2.842170943040401e-14,0,0,0.0015999999999988246,"2.805, 3.359, 3.614, 3.779, 4.321, 4.807, 5.15, 6.248, 6.476, 8.398",10,"BASE, BASE, ACID, BASE, ACID, BASE, BASE, ACID, BASE, ACID",3.6141524600982664,6.476412506103515,3.6141524600982664,6.476412506103515,carboxylate,aliphatic_amine,1.6370912124177847e-4,0.9998362908787582,-3.515927122697917
Methyldopa,CHEMBL459,211.22,103.78,4,4,0.44,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,ChEMBL,0.85,1,0.85,NA,NA,NA,ChEMBL_Fu,0.85,2.218,3,"12.66, 2.21, 2.218",NA,0,NA,4.25,7.68,-1.88,-1.42,AMPHOLYTE,211.21699999999998,103.78000000000002,4,4,0.4423000000000001,211.22,103.78,0.44,0.0030000000000143245,1.4210854715202004e-14,0,0,0.0023000000000000798,"5.76, 7.858",2,"ACID, BASE",5.760492067337037,7.857598419189453,5.760492067337037,7.857598419189453,carboxylate,aliphatic_amine,0.02106581208662139,0.9789341879133786,-1.2364217941711038
Tenofovir,CHEMBL3989702,305.23,136.38,3,7,-0.05,C[C@H](Cn1cnc2c(N)ncnc21)OCP(=O)(O)O.O,ChEMBL,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,1.29,7.96,-4.07,-1.29,AMPHOLYTE,305.231,167.88000000000002,3,6,-0.8759000000000003,305.23,136.38,-0.05,9.999999999763531e-4,31.50000000000003,0,1,0.8259000000000003,"3.193, 3.315, 4.575, 4.924, 8.164",5,"BASE, BASE, ACID, ACID, ACID",4.574927043914795,3.3153982162475586,4.574927043914795,3.3153982162475586,phosphate,heterocyclic_N_basic_polyhet,0.0014937495183979634,0.998506250481602,-2.875722221729304
Topiramate,CHEMBL220492,339.37,115.54,1,8,-0.40,CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1,ChEMBL,NA,0,NA,NA,NA,0,NA,NA,8.68,2,"8.66, 8.7",NA,0,NA,NA,4.97,0.26,0.26,BASE,339.3660000000001,115.54,1,8,-0.3953999999999982,339.37,115.54,-0.4,0.0039999999999054126,0,0,0,0.004600000000001825,"7.284, 8.903",2,"ACID, ACID",7.28404483795166,NA,7.28404483795166,NA,sulfonamide,NA,0.4336445666328831,0.5663554333671169,-0.7628660907498279
Vigabatrin,CHEMBL89598,129.16,63.32,2,2,0.36,C=CC(N)CCC(=O)O,ChEMBL,NA,0,NA,NA,NA,0,NA,NA,9.5,1,9.5,NA,0,NA,NA,NA,NA,NA,NEUTRAL,129.159,63.32000000000001,2,2,0.36450000000000005,129.16,63.32,0.36,0.0010000000000047748,7.105427357601002e-15,0,0,0.0045000000000000595,"4.93, 9.528",2,"ACID, BASE",4.9296157264709475,9.528127555847169,4.9296157264709475,9.528127555847169,carboxylate,aliphatic_amine,0.0023218119181876613,0.9976781880818123,-2.274172963840157
Atenolol,CHEMBL24,266.34,84.58,3,4,0.45,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,ChEMBL,0.925,2,"0.91, 0.94",NA,NA,NA,ChEMBL_Fu,0.925,9.54,17,"9.6, 9.6, 9.6, 9.3, 9.54, 9.6, 9.19, 9.54, 9.58, 9.6, 9.7, 9.6, 9.43, 9.36, 9.36, 9.37, 7.4",-1.15,5,"-2, -2.14, -0.19, -0.16, -1.15",NA,8.16,-0.67,0.16,BASE,266.34099999999995,84.57999999999998,3,4,0.45210000000000006,266.34,84.58,0.45,9.999999999763531e-4,1.4210854715202004e-14,0,0,0.0021000000000000463,"8.125, 9.506",2,"BASE, BASE",NA,9.506144485473634,NA,9.506144485473634,NA,aliphatic_amine,0.0077708317196207724,0.9922291682803792,-1.659532495753692
Azithromycin,CHEMBL529,749.00,180.08,5,14,1.90,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,ChEMBL,0.88,2,"0.88, 0.88",NA,NA,NA,ChEMBL_Fu,0.88,9.094999999999999,2,"8.74, 9.45",2.11,1,2.11,NA,6.55,3.96,4.02,BASE,748.9960000000001,180.08,5,14,1.9007000000000054,749,180.08,1.9,0.0039999999999054126,0,0,0,7.00000000005474e-4,"8.831, 8.847, 8.862, 8.863",4,"BASE, BASE, ACID, ACID",8.861665229797364,8.846673240661621,8.861665229797364,8.846673240661621,alcohol,aliphatic_amine,0.03447883181786783,0.9655211681821322,0.43755254300974267
Baclofen,CHEMBL701,213.66,63.32,2,2,1.86,NCC(CC(=O)O)c1ccc(Cl)cc1,ChEMBL,NA,0,NA,NA,NA,0,NA,NA,6.699999999999999,2,"3.7, 9.7",NA,0,NA,4.12,NA,-4.23,-0.95,ACID,213.664,63.32000000000001,2,2,1.857,213.66,63.32,1.86,0.003999999999990678,7.105427357601002e-15,0,0,0.0030000000000001137,"4.558, 9.108",2,"ACID, BASE",4.558400936126709,9.107638607025146,4.558400936126709,9.107638607025146,carboxylate,aliphatic_amine,0.0013397803364985268,0.9986602196635015,-1.0129664004909193
Chloroquine,CHEMBL76,319.88,28.16,1,3,4.81,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,ChEMBL,0.43,1,0.43,NA,NA,NA,ChEMBL_Fu,0.43,9.9,11,"10.2, 9.9, 10.27, 9.94, 9.94, 8.41, 8.1, 10.8, 8.4, 8.38, 8.5",0.89,9,"0.85, 0.06, 0.85, 0.9, 0.9, 2, 0.89, 0.92, 0.85",NA,11.34,0.69,4.63,BASE,319.88000000000005,28.16,1,3,4.810600000000004,319.88,28.16,4.81,5.684341886080802e-14,0,0,0,6.000000000048189e-4,"5.541, 6.102, 8.973",3,"BASE, BASE, BASE",NA,8.972896461486817,NA,8.972896461486817,NA,aliphatic_amine,0.026040214883633152,0.9739597851163668,3.2256445637053353
